Region,Site,Plant,Rep,Row,OrderGard,Unique,Biomass_g,codedup,Chemo,a_thujene,a_pinene,sabinene,b_pinene,octen_3_ol,myrcene,a_phellandrene,carene,a_terpinene,p_cymene,limonene,beta_ocimene,gama_terpinene,cis_sab_hydrate,trans_sab_hydrate,borneol,terp_4_ol,cym_8_ol,a_terpineol,nerol,isoborneol_formate,thymoquinone,geraniol,geranial,thymol,carvacrol,eugenol,caryophyllene,germ_D,total,totTC
MT,NH,8,B,10,187,14,2.053,8B,T,0.084,0.005,0.005,0,0.066,0.093,0.01,0,0.159,0.584,0.032,0,0.367,0.039,0,0,0,0,0,0,0,4.104,0,0,6.921,0.754,0,0,0,13.223,7.675
WI,BOL,14,A,10,190,147,1.5874,14A,C,0.051,0.009,0.004,0,0.112,0.069,0.005,0.001,0.05,0.442,0.031,0,0.418,0.019,0,0,0,0,0,0,0,0.9,0,0,0.034,6.71,0.001,0,0,8.859,6.744
WI,UWM,35,B,10,191,282,2.961,35B,C,0.039,0.006,0.003,0,0.158,0.048,0.007,0.004,0.045,0.254,0.021,0.002,0.157,0.02,0.004,0.001,0.001,0.002,0.001,0,0.002,1.089,0,0,0.006,3.905,0,0,0,5.774,3.911
MT,MPG,79,B,10,192,146,1.1002,79B,T,0.182,0.019,0.013,0.005,0.208,0.153,0.024,0.009,0.245,0.982,0.067,0,0.317,0.054,0.01,0,0.015,0,0.009,0,0.006,6.7,0,0,6.402,0.416,0,0,0,15.836,6.818
MT,BF,126,A,10,193,289,1.01,126A,C,0.107,0.015,0.011,0,0.075,0.12,0.02,0.006,0.165,0.733,0.047,0.005,0.785,0.092,0.019,0.007,0.012,0,0.012,0,0.01,2.508,0,0,0.037,13.152,0,0,0,17.938,13.189
WI,BOL,21,B,10,194,90,1.05,21B,C,0.029,0.005,0,0,0.289,0.033,0,0.002,0.018,0.282,0.014,0,0.057,0.021,0.003,0,0,0,0,0,0.092,1.084,0,0,0,5.087,0,0,0,7.018,5.087
MT,MPG,88,A,10,195,99,0.2852,88A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WI,BOL,212,A,10,196,66,0.754,212A,T,0.274,0.042,0.036,0.012,0.432,0.298,0.055,0.019,0.562,1.551,0.146,0.007,1.839,0.166,0.059,0.01,0.024,0,0.021,0,0.115,13.396,0,0,8.852,0.675,0,0.016,0.044,28.65,9.527
MT,CWN,45,A,10,198,74,0.538,45A,T,0.139,0.033,0.026,0.008,0.28,0.165,0.025,0.004,0.267,1.178,0.072,0.003,0.557,0.171,0.026,0.005,0.031,0.003,0.01,0,0.129,11.103,0,0,12.429,0.71,0,0,0,27.374,13.139
MT,MS,150,D,10,199,317,1.2991,150D,T,0.031,0.013,0,0,0.023,0.05,0,0,0.082,0.203,0.013,0,0.177,0.016,0,0,0,0,0,0,0.022,2.173,0,0,3.17,0.246,0,0,0,6.218,3.416
